"","Clade","lnc_RNA_concat.fasta_m29"
"1","AnaPla;GalGal",6572
"2","ApaVit;AptFor;BalReg;BucRhi;CarCri;ChaPel;ChaVoc;ChlMac;ColLiv;ColStr;CorBra;CucCan;EurHel;FalPer;FulGla;GavSte;HalLeu;LepDis;MelUnd;MerNub;MesUni;OpiHoa;PelCri;PhaLep;PhoRub;PicPub;PteGut;TauEry;TytAlb",1288
"3","ApaVit;AptFor;BalReg;BucRhi;CarCri;ChaPel;ChaVoc;ChlMac;ColStr;CorBra;CucCan;EurHel;FalPer;FulGla;GavSte;HalLeu;LepDis;MelUnd;MerNub;OpiHoa;PelCri;PhaLep;PhoRub;PicPub;TauEry;TytAlb",0
"4","ApaVit;AptFor;BalReg;BucRhi;CarCri;ChaVoc;ColStr;CorBra;EurHel;FalPer;FulGla;GavSte;HalLeu;LepDis;MelUnd;MerNub;OpiHoa;PelCri;PhaLep;PhoRub;PicPub;TytAlb",0
"5","ApaVit;BucRhi;CarCri;ColStr;CorBra;FalPer;HalLeu;LepDis;MelUnd;MerNub;PicPub;TytAlb",21
"6","ApaVit;BucRhi;ColStr;HalLeu;LepDis;MerNub;PicPub;TytAlb",11
"7","ApaVit;BucRhi;LepDis;MerNub;PicPub",112
"8","ApaVit;BucRhi;MerNub;PicPub",90
"9","AptFor;BalReg;ChaVoc;EurHel;FulGla;GavSte;OpiHoa;PelCri;PhaLep;PhoRub",0
"10","AptFor;EurHel;FulGla;GavSte;PelCri;PhaLep",7
"11","AptFor;FulGla",246
"12","AptFor;FulGla;GavSte;PelCri",64
"13","AptFor;FulGla;PelCri",148
"14","BalReg;ChaVoc;OpiHoa;PhoRub",1
"15","BalReg;PhoRub",225
"16","BucRhi;MerNub;PicPub",243
"17","CarCri;CorBra;FalPer;MelUnd",64
"18","ChaPel;ChlMac;CucCan;TauEry",5
"19","ChaPel;CucCan",852
"20","ChaVoc;OpiHoa",396
"21","ChlMac;TauEry",480
"22","ColLiv;MesUni;PteGut",36
"23","ColStr;HalLeu;TytAlb",13
"24","ColStr;TytAlb",569
"25","CorBra;FalPer;MelUnd",145
"26","CorBra;MelUnd",1065
"27","EurHel;PhaLep",514
"28","MerNub;PicPub",1135
"29","MesUni;PteGut",701
