"","Clade","other_concat.fasta_m29"
"1","AnaPla;GalGal",497
"2","ApaVit;AptFor;BalReg;BucRhi;CarCri;ChaPel;ChaVoc;ChlMac;ColLiv;ColStr;CorBra;CucCan;EurHel;FalPer;FulGla;GavSte;HalLeu;LepDis;MelUnd;MerNub;MesUni;OpiHoa;PelCri;PhaLep;PhoRub;PicPub;PteGut;TauEry;TytAlb",128
"3","ApaVit;AptFor;BalReg;BucRhi;CarCri;ChaPel;ChaVoc;ChlMac;ColLiv;ColStr;CorBra;CucCan;EurHel;FalPer;FulGla;GavSte;HalLeu;LepDis;MelUnd;MerNub;OpiHoa;PelCri;PhaLep;PhoRub;PicPub;TauEry;TytAlb",0
"4","ApaVit;AptFor;BalReg;BucRhi;CarCri;ChaPel;ChaVoc;ChlMac;ColStr;CorBra;CucCan;FalPer;FulGla;GavSte;HalLeu;LepDis;MelUnd;MerNub;OpiHoa;PelCri;PhaLep;PhoRub;PicPub;TauEry;TytAlb",0
"5","ApaVit;AptFor;BalReg;BucRhi;CarCri;ChaPel;ChlMac;ColStr;CorBra;FalPer;FulGla;GavSte;HalLeu;LepDis;MelUnd;MerNub;OpiHoa;PelCri;PhaLep;PhoRub;PicPub;TauEry;TytAlb",0
"6","ApaVit;BucRhi;CarCri;ColStr;CorBra;FalPer;HalLeu;LepDis;MelUnd;MerNub;PicPub;TytAlb",4
"7","ApaVit;BucRhi;ColStr;HalLeu;LepDis;MerNub;PicPub;TytAlb",1
"8","ApaVit;BucRhi;LepDis;MerNub;PicPub",12
"9","ApaVit;BucRhi;MerNub;PicPub",6
"10","AptFor;BalReg;ChaPel;ChlMac;FulGla;GavSte;OpiHoa;PelCri;PhaLep;PhoRub;TauEry",0
"11","AptFor;BalReg;FulGla;GavSte;PelCri;PhoRub;TauEry",0
"12","AptFor;FulGla",20
"13","AptFor;FulGla;GavSte;PelCri",2
"14","AptFor;FulGla;PelCri",10
"15","BalReg;PhoRub;TauEry",1
"16","BalReg;TauEry",26
"17","BucRhi;MerNub;PicPub",18
"18","CarCri;CorBra;FalPer;MelUnd",2
"19","ChaPel;ChlMac;OpiHoa;PhaLep",1
"20","ChaPel;PhaLep",37
"21","ChaVoc;CucCan",37
"22","ChlMac;OpiHoa",40
"23","ColLiv;EurHel",63
"24","ColStr;HalLeu;TytAlb",3
"25","ColStr;TytAlb",38
"26","CorBra;FalPer;MelUnd",12
"27","CorBra;MelUnd",84
"28","MerNub;PicPub",101
"29","MesUni;PteGut",62
