"","Clade","intron_concat.fasta_m29"
"1","AnaPla;GalGal",26719
"2","ApaVit;AptFor;BalReg;BucRhi;CarCri;ChaPel;ChaVoc;ChlMac;ColLiv;ColStr;CorBra;CucCan;EurHel;FalPer;FulGla;GavSte;HalLeu;LepDis;MelUnd;MerNub;MesUni;OpiHoa;PelCri;PhaLep;PhoRub;PicPub;PteGut;TauEry;TytAlb",5112
"3","ApaVit;AptFor;BalReg;BucRhi;CarCri;ChaVoc;ChlMac;ColLiv;ColStr;CorBra;EurHel;FalPer;FulGla;GavSte;HalLeu;LepDis;MelUnd;MerNub;MesUni;OpiHoa;PelCri;PhaLep;PhoRub;PicPub;PteGut;TauEry;TytAlb",63
"4","ApaVit;AptFor;BalReg;BucRhi;CarCri;ChaVoc;ChlMac;ColStr;CorBra;EurHel;FalPer;FulGla;GavSte;HalLeu;LepDis;MelUnd;MerNub;OpiHoa;PelCri;PhaLep;PhoRub;PicPub;TauEry;TytAlb",0
"5","ApaVit;AptFor;BalReg;BucRhi;CarCri;ChaVoc;ColStr;CorBra;EurHel;FalPer;FulGla;GavSte;HalLeu;LepDis;MelUnd;MerNub;OpiHoa;PelCri;PhaLep;PhoRub;PicPub;TytAlb",0
"6","ApaVit;BucRhi;CarCri;ColStr;CorBra;FalPer;HalLeu;LepDis;MelUnd;MerNub;PicPub;TytAlb",119
"7","ApaVit;BucRhi;ColStr;HalLeu;LepDis;MerNub;PicPub;TytAlb",33
"8","ApaVit;BucRhi;LepDis;MerNub;PicPub",396
"9","ApaVit;BucRhi;MerNub;PicPub",251
"10","AptFor;BalReg;ChaVoc;EurHel;FulGla;GavSte;OpiHoa;PelCri;PhaLep;PhoRub",0
"11","AptFor;EurHel;FulGla;GavSte;PelCri;PhaLep",13
"12","AptFor;FulGla",1135
"13","AptFor;FulGla;GavSte;PelCri",213
"14","AptFor;FulGla;PelCri",552
"15","BalReg;ChaVoc;OpiHoa;PhoRub",9
"16","BalReg;PhoRub",1040
"17","BucRhi;MerNub;PicPub",942
"18","CarCri;CorBra;FalPer;MelUnd",221
"19","ChaPel;CucCan",3343
"20","ChaVoc;OpiHoa",1776
"21","ChlMac;TauEry",2131
"22","ColLiv;MesUni;PteGut",145
"23","ColStr;HalLeu;TytAlb",64
"24","ColStr;TytAlb",2211
"25","CorBra;FalPer;MelUnd",486
"26","CorBra;MelUnd",4059
"27","EurHel;PhaLep",2235
"28","MerNub;PicPub",4607
"29","MesUni;PteGut",2754
