"","Clade","pseudogene_concat.fasta_m29"
"1","AnaPla;GalGal",1
"2","ApaVit;AptFor;BalReg;BucRhi;CarCri;ChaPel;ChaVoc;ChlMac;ColLiv;ColStr;CorBra;CucCan;EurHel;FalPer;FulGla;GavSte;HalLeu;LepDis;MelUnd;MerNub;MesUni;OpiHoa;PelCri;PhaLep;PhoRub;PicPub;PteGut;TauEry;TytAlb",1
"3","ApaVit;AptFor;BalReg;BucRhi;CarCri;ChaPel;ChaVoc;ChlMac;ColLiv;ColStr;CucCan;EurHel;FalPer;FulGla;GavSte;HalLeu;LepDis;MelUnd;MerNub;MesUni;OpiHoa;PelCri;PhaLep;PhoRub;PicPub;PteGut;TauEry;TytAlb",0
"4","ApaVit;AptFor;BalReg;BucRhi;CarCri;ChaPel;ChaVoc;ChlMac;ColLiv;ColStr;CucCan;EurHel;FalPer;FulGla;GavSte;HalLeu;LepDis;MelUnd;MerNub;OpiHoa;PelCri;PhaLep;PhoRub;PicPub;TauEry;TytAlb",0
"5","ApaVit;AptFor;BalReg;BucRhi;CarCri;ChaPel;ChaVoc;ColLiv;ColStr;CucCan;EurHel;FalPer;FulGla;GavSte;HalLeu;LepDis;MelUnd;MerNub;OpiHoa;PelCri;PhaLep;PhoRub;PicPub;TauEry;TytAlb",0
"6","ApaVit;AptFor;BalReg;BucRhi;CarCri;ChaPel;ColLiv;ColStr;CucCan;EurHel;FulGla;HalLeu;LepDis;MelUnd;MerNub;OpiHoa;PelCri;PhaLep;PhoRub;PicPub;TauEry",0
"7","ApaVit;BucRhi;ChaPel;ColLiv;ColStr;LepDis;MelUnd;MerNub;PicPub;TauEry",0
"8","ApaVit;ColLiv",0
"9","ApaVit;ColLiv;ColStr;LepDis;TauEry",0
"10","AptFor;BalReg;CarCri;CucCan;EurHel;FulGla;HalLeu;OpiHoa;PelCri;PhaLep;PhoRub",0
"11","AptFor;BalReg;CarCri;EurHel;FulGla;HalLeu;PelCri;PhaLep;PhoRub",0
"12","AptFor;CarCri;EurHel;FulGla;HalLeu;PelCri;PhaLep",0
"13","AptFor;CarCri;FulGla;HalLeu;PelCri;PhaLep",0
"14","AptFor;FulGla",0
"15","AptFor;FulGla;HalLeu",0
"16","BalReg;PhoRub",0
"17","BucRhi;ChaPel;MelUnd;MerNub;PicPub",0
"18","BucRhi;MerNub",1
"19","CarCri;PelCri;PhaLep",0
"20","ChaPel;MelUnd;PicPub",1
"21","ChaPel;PicPub",9
"22","ChaVoc;FalPer",1
"23","ChaVoc;FalPer;GavSte;TytAlb",0
"24","ColStr;LepDis",2
"25","ColStr;LepDis;TauEry",0
"26","CucCan;OpiHoa",1
"27","GavSte;TytAlb",1
"28","MesUni;PteGut",2
"29","PelCri;PhaLep",0
