"","Clade","unannotated_concat.fasta_m29"
"1","AnaPla;GalGal",19562
"2","ApaVit;AptFor;BalReg;BucRhi;CarCri;ChaPel;ChaVoc;ChlMac;ColLiv;ColStr;CorBra;CucCan;EurHel;FalPer;FulGla;GavSte;HalLeu;LepDis;MelUnd;MerNub;MesUni;OpiHoa;PelCri;PhaLep;PhoRub;PicPub;PteGut;TauEry;TytAlb",3703
"3","ApaVit;AptFor;BalReg;BucRhi;CarCri;ChaVoc;ChlMac;ColLiv;ColStr;CorBra;EurHel;FalPer;FulGla;GavSte;HalLeu;LepDis;MelUnd;MerNub;MesUni;OpiHoa;PelCri;PhaLep;PhoRub;PicPub;PteGut;TauEry;TytAlb",54
"4","ApaVit;AptFor;BalReg;BucRhi;CarCri;ChaVoc;ChlMac;ColStr;CorBra;EurHel;FalPer;FulGla;GavSte;HalLeu;LepDis;MelUnd;MerNub;OpiHoa;PelCri;PhaLep;PhoRub;PicPub;TauEry;TytAlb",0
"5","ApaVit;AptFor;BalReg;BucRhi;CarCri;ChaVoc;ColStr;CorBra;EurHel;FalPer;FulGla;GavSte;HalLeu;LepDis;MelUnd;MerNub;OpiHoa;PelCri;PhaLep;PhoRub;PicPub;TytAlb",0
"6","ApaVit;BucRhi;CarCri;ColStr;CorBra;FalPer;HalLeu;LepDis;MelUnd;MerNub;PicPub;TytAlb",96
"7","ApaVit;BucRhi;ColStr;HalLeu;LepDis;MerNub;PicPub;TytAlb",26
"8","ApaVit;BucRhi;ColStr;LepDis;MerNub;PicPub",21
"9","ApaVit;BucRhi;LepDis;MerNub;PicPub",363
"10","ApaVit;BucRhi;MerNub;PicPub",213
"11","AptFor;BalReg;ChaVoc;EurHel;FulGla;GavSte;OpiHoa;PelCri;PhaLep;PhoRub",0
"12","AptFor;BalReg;EurHel;FulGla;GavSte;PelCri;PhaLep;PhoRub",2
"13","AptFor;EurHel;FulGla;GavSte;PelCri;PhaLep",21
"14","AptFor;FulGla",857
"15","AptFor;FulGla;GavSte;PelCri",170
"16","AptFor;FulGla;PelCri",426
"17","BalReg;PhoRub",729
"18","BucRhi;MerNub;PicPub",703
"19","CarCri;CorBra;FalPer;MelUnd",212
"20","ChaPel;CucCan",2606
"21","ChaVoc;OpiHoa",1277
"22","ChlMac;TauEry",1570
"23","ColLiv;MesUni;PteGut",110
"24","CorBra;FalPer;MelUnd",452
"25","CorBra;MelUnd",3184
"26","EurHel;PhaLep",1631
"27","HalLeu;TytAlb",927
"28","MerNub;PicPub",3527
"29","MesUni;PteGut",2044
